model,example,source_setup,p,n0,N,T,replicate,selected_sources,num_selected_sources
linear,exm1,exm1_6source_shift,5,250,5000,500,150,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,151,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,152,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,153,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,154,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,155,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,156,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,157,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,158,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,159,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,160,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,161,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,162,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,163,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,164,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,165,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,166,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,167,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,168,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,169,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,170,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,171,"m1s1,m2s2,m3s3,m4s4",4
linear,exm1,exm1_6source_shift,5,250,5000,500,172,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,173,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,174,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,175,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,176,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,177,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,178,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,179,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,180,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,181,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,182,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,183,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,184,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,185,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,186,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,187,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,188,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,189,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,190,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,191,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,192,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,193,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,194,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,195,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,196,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,197,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,198,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,199,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,200,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,201,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,202,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,203,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,204,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,205,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,206,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,207,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,208,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,209,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,210,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,211,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,212,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,213,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,214,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,215,m2s2,1
